銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
,,,2025/01/29,10:07,1975.0 ,1975.5 ,1974.5 ,1975.0 ,297800,1971.72 ,1975.50 ,1971.72 ,1975.00 ,1,1976.00 ,0.12 ,1968.65 ,7,7.0 
,,,2025/01/29,10:08,1975.0 ,1976.0 ,1972.5 ,1973.0 ,184500,1973.36 ,1976.00 ,1972.50 ,1974.13 ,1,1976.00 ,0.12 ,1969.53 ,8,5.0 
,,,2025/01/29,10:09,1972.5 ,1973.5 ,1972.0 ,1973.5 ,114400,1973.74 ,1973.74 ,1972.00 ,1972.88 ,1,1976.00 ,0.12 ,1970.30 ,9,5.5 
,,,2025/01/29,10:10,1973.0 ,1974.5 ,1973.0 ,1974.0 ,135500,1973.31 ,1974.50 ,1973.00 ,1973.63 ,1,1976.00 ,0.12 ,1970.99 ,10,6.0 
,,,2025/01/29,10:11,1974.0 ,1976.0 ,1974.0 ,1974.5 ,234200,1973.47 ,1976.00 ,1973.47 ,1974.63 ,1,1976.00 ,0.12 ,1971.59 ,11,6.5 
,,,2025/01/29,10:12,1974.5 ,1976.0 ,1974.5 ,1976.0 ,55600,1974.05 ,1976.00 ,1974.05 ,1975.25 ,1,1976.00 ,0.12 ,1972.12 ,12,8.0 
,,,2025/01/29,10:13,1975.5 ,1976.5 ,1975.0 ,1976.0 ,251400,1974.65 ,1976.50 ,1974.65 ,1975.75 ,1,1976.50 ,0.14 ,1972.73 ,13,8.0 
,,,2025/01/29,10:14,1976.5 ,1977.0 ,1975.5 ,1976.0 ,160800,1975.20 ,1977.00 ,1975.20 ,1976.25 ,1,1977.00 ,0.16 ,1973.41 ,14,8.0 
,,,2025/01/29,10:15,1975.5 ,1976.0 ,1974.5 ,1974.5 ,149700,1975.72 ,1976.00 ,1974.50 ,1975.13 ,1,1977.00 ,0.16 ,1973.99 ,15,6.5 
,,,2025/01/29,10:16,1974.5 ,1974.5 ,1973.0 ,1974.0 ,152900,1975.42 ,1975.42 ,1973.00 ,1974.00 ,-1,1975.42 ,0.02 ,1977.00 ,0,
,,,2025/01/29,10:17,1973.5 ,1974.5 ,1972.5 ,1972.5 ,145900,1974.71 ,1974.71 ,1972.50 ,1973.25 ,-1,1972.50 ,0.04 ,1976.82 ,1,1.5 
,,,2025/01/29,10:18,1972.5 ,1973.0 ,1971.0 ,1971.5 ,248500,1973.98 ,1973.98 ,1971.00 ,1972.00 ,-1,1971.00 ,0.06 ,1976.47 ,2,2.5 
,,,2025/01/29,10:19,1971.5 ,1973.5 ,1971.5 ,1973.5 ,116700,1972.99 ,1973.50 ,1971.50 ,1972.50 ,-1,1971.00 ,0.06 ,1976.14 ,3,0.5 
,,,2025/01/29,10:20,1973.5 ,1974.5 ,1973.0 ,1974.5 ,121500,1972.75 ,1974.50 ,1972.75 ,1973.88 ,-1,1971.00 ,0.06 ,1975.83 ,4,-0.5 
,,,2025/01/29,10:21,1974.0 ,1974.5 ,1973.5 ,1973.5 ,53000,1973.31 ,1974.50 ,1973.31 ,1973.88 ,-1,1971.00 ,0.06 ,1975.54 ,5,0.5 
,,,2025/01/29,10:22,1973.5 ,1975.5 ,1973.5 ,1975.0 ,56200,1973.59 ,1975.50 ,1973.50 ,1974.38 ,-1,1971.00 ,0.06 ,1975.27 ,6,-1.0 
,,,2025/01/29,10:23,1975.0 ,1975.5 ,1974.5 ,1975.0 ,54700,1973.98 ,1975.50 ,1973.98 ,1975.00 ,1,1973.98 ,0.02 ,1971.00 ,0,
,,,2025/01/29,10:24,1975.0 ,1975.0 ,1974.5 ,1975.0 ,64600,1974.49 ,1975.00 ,1974.49 ,1974.88 ,1,1975.00 ,0.04 ,1971.16 ,1,0.0 
,,,2025/01/29,10:25,1975.0 ,1975.0 ,1973.0 ,1974.0 ,95800,1974.68 ,1975.00 ,1973.00 ,1974.25 ,1,1975.00 ,0.04 ,1971.31 ,2,-1.0 
,,,2025/01/29,10:26,1974.0 ,1974.0 ,1973.0 ,1973.0 ,48900,1974.47 ,1974.47 ,1973.00 ,1973.50 ,1,1975.00 ,0.04 ,1971.46 ,3,-2.0 
,,,2025/01/29,10:27,1973.0 ,1974.5 ,1973.0 ,1974.5 ,117200,1973.98 ,1974.50 ,1973.00 ,1973.75 ,1,1975.00 ,0.04 ,1971.60 ,4,-0.5 
,,,2025/01/29,10:28,1975.0 ,1975.0 ,1973.5 ,1973.5 ,72100,1973.87 ,1975.00 ,1973.50 ,1974.25 ,1,1975.00 ,0.04 ,1971.74 ,5,-1.5 
,,,2025/01/29,10:29,1973.5 ,1974.0 ,1973.0 ,1973.5 ,72100,1974.06 ,1974.06 ,1973.00 ,1973.50 ,1,1975.00 ,0.04 ,1971.87 ,6,-1.5 
,,,2025/01/29,10:30,1973.5 ,1974.0 ,1973.0 ,1973.5 ,17900,1973.78 ,1974.00 ,1973.00 ,1973.50 ,1,1975.00 ,0.04 ,1971.99 ,7,-1.5 
,,,2025/01/29,10:31,1973.0 ,1974.0 ,1973.0 ,1973.5 ,35000,1973.64 ,1974.00 ,1973.00 ,1973.38 ,1,1975.00 ,0.04 ,1972.11 ,8,-1.5 
,,,2025/01/29,10:32,1974.0 ,1974.0 ,1972.5 ,1972.5 ,67800,1973.51 ,1974.00 ,1972.50 ,1973.25 ,1,1975.00 ,0.04 ,1972.23 ,9,-2.5 
,,,2025/01/29,10:33,1972.5 ,1973.0 ,1972.0 ,1972.0 ,73300,1973.38 ,1973.38 ,1972.00 ,1972.38 ,-1,1973.38 ,0.02 ,1975.00 ,0,
,,,2025/01/29,10:34,1972.0 ,1972.0 ,1971.0 ,1971.5 ,101000,1972.88 ,1972.88 ,1971.00 ,1971.63 ,-1,1971.00 ,0.04 ,1974.84 ,1,0.5 
,,,2025/01/29,10:35,1971.0 ,1972.0 ,1971.0 ,1972.0 ,41900,1972.25 ,1972.25 ,1971.00 ,1971.50 ,-1,1971.00 ,0.04 ,1974.69 ,2,0.0 
,,,2025/01/29,10:36,1972.0 ,1973.0 ,1971.5 ,1973.0 ,121100,1971.88 ,1973.00 ,1971.50 ,1972.38 ,-1,1971.00 ,0.04 ,1974.54 ,3,-1.0 
,,,2025/01/29,10:37,1973.0 ,1973.0 ,1972.0 ,1972.5 ,47200,1972.13 ,1973.00 ,1972.00 ,1972.63 ,-1,1971.00 ,0.04 ,1974.40 ,4,-0.5 
,,,2025/01/29,10:38,1972.5 ,1973.0 ,1972.5 ,1973.0 ,56500,1972.38 ,1973.00 ,1972.38 ,1972.75 ,-1,1971.00 ,0.04 ,1974.26 ,5,-1.0 
